h;V;C;L*;a*;b*;R;G;B
7.5P;3;12;30.76;47.93;-33.26;0.4645;0.1277;0.4908
7.5P;3;14;30.76;55.42;-37.95;0.4908;0.0601;0.5206
10P;3;2;30.76;10.28;-5.7;0.332;0.263;0.3191
10P;3;4;30.76;18.66;-10.39;0.3688;0.2423;0.3483
10P;3;6;30.76;26.29;-14.66;0.4004;0.2199;0.3749
10P;3;8;30.76;34.66;-19.28;0.4339;0.1899;0.4038
10P;3;10;30.76;42.55;-23.68;0.4647;0.153;0.4315
10P;3;12;30.76;50.96;-28.27;0.4965;0.0953;0.4604
2.5RP;3;2;30.76;10.75;-3.75;0.3403;0.2613;0.3074
2.5RP;3;4;30.76;19.71;-7.02;0.3839;0.2378;0.3282
2.5RP;3;6;30.76;27.83;-10.09;0.421;0.2122;0.3476
2.5RP;3;8;30.76;36.4;-13.34;0.4586;0.1782;0.3681
2.5RP;3;10;30.76;45.02;-16.73;0.495;0.1315;0.3896
2.5RP;3;12;30.76;53.21;-19.98;0.5292;0.053;0.4101
5RP;3;2;30.76;10.85;-1.7;0.3466;0.2602;0.295
5RP;3;4;30.76;20.4;-3.49;0.3961;0.2344;0.307
5RP;3;6;30.76;29.04;-5.28;0.4378;0.2058;0.3189
5RP;3;8;30.76;37.89;-7.4;0.4786;0.1676;0.3327
5RP;3;10;30.76;46.41;-9.59;0.5165;0.115;0.3469
7.5RP;3;2;30.76;11.13;-0.07;0.3517;0.2592;0.2853
7.5RP;3;4;30.76;20.66;-0.38;0.4038;0.2328;0.2884
7.5RP;3;6;30.76;29.44;-0.89;0.4483;0.2024;0.2928
7.5RP;3;8;30.76;38.63;-1.7;0.4924;0.1607;0.299
7.5RP;3;10;30.76;47.1;-2.59;0.5315;0.1035;0.3056
10RP;4;2;41.22;9.7;1.73;0.4496;0.3584;0.3709
10RP;4;4;41.22;18.77;3.3;0.5071;0.3336;0.3623
10RP;4;6;41.22;27.53;4.71;0.5582;0.3057;0.3548
10RP;4;8;41.22;36.46;5.98;0.6075;0.2713;0.3484
